Hra / Poznámka,Název hry,BGG ID,Jazyky,Umístění,Datum přidání
GAME,18 Lilliput,,,,1.1.2022
GAME,1824 Austria-Hungary,,,,1.1.2022
GAME,18CZ: Počátek železnice v Českých zemích,,,,1.1.2022
,Bonusové desky,,,,
GAME,1989: Úsvit svobody,,,,1.1.2022
GAME,5 minute dungeon,,,,1.1.2022
GAME,504,,,,1.1.2022
GAME,6 bere!,,,,1.1.2022
GAME,7 Divů světa,,,,1.1.2022
GAME,7 Divů světa – DUEL,,,,1.1.2022
,Rozšíření: 7 Divů světa – DUEL Pantheon,,,,
GAME,7 Days of Westerplatte,,,,1.1.2022
GAME,A Song of Ice and Fire,,,,1.1.2022
,Kickstarter edice,,,,
GAME,Adrenalin,,,,1.1.2022
GAME,Aeon’s End: The New Age,,,,1.1.2022
GAME,Afrika,,,,1.1.2022
GAME,Agricola,,,,1.1.2022
,Rozšíření: Sedláci z blat,,,,
,"Rozšíření: Balíčky Č, Ö, X a Z",,,,
GAME,Airlines Europe,,,,1.1.2022
GAME,Alhambra,,,,1.1.2022
GAME,Alchymisté,,,,1.1.2022
,Rozšíření: Královský golem,,,,
GAME,Anachrony,,CZ,,1.1.2022
GAME,Anachrony ,,ENG,,1.1.2022
,Exosuit Commander Pack,,,,
GAME,Andor – Dobrodružné legendy,,,,1.1.2022
GAME,Aquädukt,,,,1.1.2022
GAME,Arboretum,,,,1.1.2022
GAME,Arcadia Quest: Inferno,,,,1.1.2022
,Kickstarter edice,,,,
,"Rozšíření: Poison Dragon, Whole Lotta Lava, Riders",,,,
GAME,Architekti Západního království,,,,1.1.2022
,Rozšíření: Rozkvět řemesel,,,,
GAME,Ark and Noah,,,,1.1.2022
GAME,Arkham Horror,,,,1.1.2022
,2. edice,,,,
,Rozšíření: Dunwich Horror,,,,
GAME,Arkham Horror,,,,1.1.2022
,3. edice,,,,
GAME,Arkham Ritual,,,,1.1.2022
GAME,Athéna,,,,1.1.2022
GAME,Auf Zack!,,,,1.1.2022
GAME,Auto Farmer,,,,1.1.2022
GAME,Azul,,,,1.1.2022
GAME,Azul: Vitráže Sintry,,,,1.1.2022
GAME,Baba Jaga,,,,1.1.2022
GAME,Babylonia,,,,1.1.2022
GAME,Balíkáři,,,,1.1.2022
GAME,Bang!,,,,1.1.2022
,"Rozšíření: Divoký západ, Fistful, Město Duchů, Údolí stínů, Zlatá horečka)",,,,
GAME,Bang! Duel,,,,1.1.2022
,Rozšíření: Bang! Duel – Odpadlíci,,,,
GAME,Bang! Kostková hra,,,,1.1.2022
GAME,Barbarians: The Invasion,,,,1.1.2022
GAME,Barevná příšerka,,,,1.1.2022
GAME,Barony,,,,1.1.2022
GAME,Barrage,,,,1.1.2022
,Kickstarter edice,,,,
,The Leeghwater Project,,,,
GAME,Batman: Gotham City Chronicles,,,,1.1.2022
,Kickstarter edice,,,,
GAME,Battalia: The Creation,,,,1.1.2022
GAME,Battlestar Galactica: The Board Game ,,CZ,,1.1.2022
,"karty jsou v češtině, ale chybí vytištěná pravidla, najdete na ZT",,,,
,Rozšíření: Daybreak,,,,
,Rozšíření: Exodus,,,,
,Rozšíření: Pegasus,,,,
GAME,Bears vs. Babies,,,,1.1.2022
,Rozšíření: NSFW Pack,,,,
GAME,Betrayal at House on the Hill,,,,1.1.2022
,Upgradekit,,,,
,Rozšíření: Widow’s Walk,,,,
GAME,Běsnění Drákuly,,,,1.1.2022
GAME,Bios: Genesis,,,,1.1.2022
GAME,Bios: Megafauna,,,,1.1.2022
GAME,Blackout: Hong Kong ,,DE,,1.1.2022
GAME,Blafuj,,,,1.1.2022
GAME,Bloodborne – Karetní hra,,,,1.1.2022
GAME,Bloodborne: Board Game,,,,1.1.2022
,Kickstarter edice,,,,
GAME,Blood Rage,,CZ,,1.1.2022
,Rozšíření: Bohové z Asgardu,,,,
,Rozšíření: Zaříkávači z Midgardu,,,,
,Rozšíření: pro pátého hráče,,,,
GAME,Blood Rage,,ENG ,,1.1.2022
,"Kickstarter – extra monstra, Pátý hráč, Bohové z Asgardu",,,,
,Rozšíření: Zaříkávači z Midgardu,,,,
,Neoprenový Playmat,,,,
GAME,Boží zboží,,,,1.1.2022
GAME,Brass: Birmingham,,,,1.1.2022
GAME,Brass: Lancashire,,,,1.1.2022
GAME,Břink! Velká podzemní loupež,,,,1.1.2022
GAME,Břink! Ve vesmíru! Velká galaktická loupež,,,,1.1.2022
GAME,Bum Bum Burrito,,,,1.1.2022
GAME,Bystroočko,,,,1.1.2022
GAME,Cacao,,,,1.1.2022
GAME,Cappuccino,,,,1.1.2022
GAME,Captain Sonar,,,,1.1.2022
,Rozšíření: Upgrade One,,,,
GAME,Carcassonne,,,,1.1.2022
,"Rozšíření: Kupci a stavitelé, Opatství a starosta, Princezna a drak, Věž",,,,
GAME,Carcassonne – Lovci a sběrači,,,,1.1.2022
GAME,Carcassonne – Safari,,,,1.1.2022
GAME,Carcassonne – Zlatá horečka,,,,1.1.2022
GAME,Cardline: Dinosauři,,,,1.1.2022
GAME,Cardline: Svět zvířat,,,,1.1.2022
GAME,Cardline: Světoběžník,,,,1.1.2022
GAME,Cards Against Humanity,,"CZ, ENG",,1.1.2022
GAME,Catan: Big Box (Osadníci z Katanu),,,,1.1.2022
GAME,Catan – Osadníci z Katanu,,,,1.1.2022
,"Rozšíření: Poklady, draci a objevitelé",,,,
,Rozšíření: Atlantis,,,,
,Rozšíření: Města a rytíři,,,,
,Rozšíření: Námořníci,,,,
GAME,Catan – Osadníci z Katanu – Hra o trůny: Noční hlídka,,,,1.1.2022
GAME,Catan – Osadníci z Katanu – Obchod v Evropě,,,,1.1.2022
GAME,Catan – Osadníci z Katanu – Karetní hra pro dva,,,,1.1.2022
,"Rozšíření: Barbaři a obchodníci, Politika a intriky, Rytíři a obchodníci a Věda a pokrok",,,,
GAME,Catan – Osadníci z Katanu – Rychlá karetní hra,,,,1.1.2022
GAME,Caverna: Sedláci z jeskyní,,,,1.1.2022
GAME,Caylus,,,,1.1.2022
GAME,Celestia,,,,1.1.2022
GAME,Cerebria – The Inside World,,,,1.1.2022
GAME,Cerebria Card game,,,,1.1.2022
GAME,Cesta za štěstím,,,,1.1.2022
GAME,Cestou necestou,,,,1.1.2022
GAME,Ceylon,,,,1.1.2022
GAME,Circadians: First Light,,,,1.1.2022
,Kickstarter edice,,,,
GAME,Cirkus na kolečkách,,,,1.1.2022
GAME,Citadela,,,,1.1.2022
,De Luxe,,,,
GAME,Citadela času,,,,1.1.2022
GAME,Clash of Rage,,,,1.1.2022
,Kickstarter edice,,,,
,Heroes expansion,,,,
GAME,Claustrophobia 1643,,,,1.1.2022
GAME,Cloudspire,,,,1.1.2022
,Rozšíření: Portal Seekers a The Griege,,,,
GAME,CO2: Second Chance,,,,1.1.2022
GAME,Coloma,,,,1.1.2022
GAME,Coloretto,,,,1.1.2022
GAME,Coloretto Amazonas,,,,1.1.2022
GAME,Colt Express,,,,1.1.2022
GAME,Cortex Challenge,,,,1.1.2022
GAME,Costa Rica,,,,1.1.2022
GAME,Coup: Noční klub,,,,1.1.2022
GAME,Court of the Dead: Mourners Call,,,,1.1.2022
GAME,Crash by crash,,,,1.1.2022
GAME,Cthulhu: Death May Die ,,ENG,,1.1.2022
,Kickstarted Edice – All-in,,,,
GAME,Cyclades,,,,1.1.2022
,Rozšíření: Cyclades-Kemet Crossover),,,,
GAME,Černé historky 1,,,,1.1.2022
GAME,Černé historky 2,,,,1.1.2022
GAME,Černé historky 3,,,,1.1.2022
GAME,Černé historky: Absurdní příběhy,,,,1.1.2022
GAME,Černé historky: Bílé historky,,,,1.1.2022
GAME,Černé historky: Modré historky,,,,1.1.2022
GAME,Černé historky: Prázdninové příběhy,,,,1.1.2022
GAME,Černé historky: Příběhy z nemocnice,,,,1.1.2022
GAME,Černé historky: Příběhy ze středověku,,,,1.1.2022
GAME,Černé historky: Skutečné příběhy,,,,1.1.2022
GAME,Černé historky: Zlaté historky,,,,1.1.2022
GAME,Černé historky: Zločin a sex,,,,1.1.2022
GAME,Čtveráček,,,,1.1.2022
